"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"Miglioramento energetico impianto illuminazione pubblica","Comune di Taverna(CZ)","COMUNE DI TAVERNA","COMUNE DI TAVERNA","78.947,37","178.301,05","78.212,27","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Adeguamento ed ottimizzazione dell'impianto di pubblica illu...","Comune di Tiriolo(CZ)","COMUNE DI TIRIOLO","COMUNE DI TIRIOLO","94.556,46","70.745,52","70.745,52","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Risparmio energetico mediante riduttori di  flusso e teleges...","Comune di Lamezia Terme(CZ)","Comune di Lamezia Terme","Comune di Lamezia Terme","252.000,00","196.810,41","196.810,41","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Competenze Stipendiali del personale ai controlli di II livello","Comune di Catanzaro(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","2.967.051,00","1.142.000,00","699.780,80","Programma Operativo FESR  2007/2013","Supporto alle attivit� dell�Autorit� di Certificazione e dell�Autorit� di Audit."
"Supporto attivit� promoz. marchi d'area e marketing territoriale","Comune di Catanzaro(CZ)","Regione Calabria - Dipartimento Ambiente ","Fondazione FIELD","1.200.000,00","400.000,00","120.000,00","Programma Operativo FESR  2007/2013","Sviluppo di attivit� economiche sostenibili."
"Affianc.e supp.animazione sistemi locali e territ.-Agenda 21 loc","Comune di Catanzaro(CZ)","Regione Calabria - Dipartimento Ambiente ","Fondazione FIELD","1.800.000,00","600.000,00","180.000,00","Programma Operativo FESR  2007/2013","Azioni per garantire la sostenibilit� ambientale delle politiche di sviluppo."
"Adeguam. impianto pubblica illuminazione PO 2007 2013 2.1.2.1","Comune di Borgia(CZ)","COMUNE DI BORGIA","COMUNE DI BORGIA","115.700,00","53.437,03","53.437,03","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"AC - PIA - STIRPARO SRL","Comune di Settingiano(CZ)","Regione Dipartimento 5: Attivit� Produttive","STIRPARO S.R.L.","218.000,00","218.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - ISAL SRL","Comune di Lamezia Terme(CZ)","Regione Dipartimento 5: Attivit� Produttive","I.SA.L. SRL","87.340,00","87.340,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - T.E.A. SAS DI ELENA & C.","Comune di Catanzaro(CZ)","Regione Dipartimento 5: Attivit� Produttive","T.E.A sas di Elena Console & C ","12.000,00","12.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - SIR MECCANICA SPA","Comune di Catanzaro(CZ)","Regione Dipartimento 5: Attivit� Produttive","SIR MECCANICA SPA","204.000,00","204.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - IGM IND. MARMI","Comune di Davoli(CZ)","Regione Dipartimento 5: Attivit� Produttive","IGM IND. MARMI","15.000,00","15.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - RUBETTINO SRL","Comune di Soveria Mannelli(CZ)","Regione Dipartimento 5: Attivit� Produttive","RUBBETTINO S.R.L.","128.000,00","128.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - GABRIELE SALVATORE","Comune di Sersale(CZ)","Regione Dipartimento 5: Attivit� Produttive","GABRIELE SALVATORE","6.000,00","6.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - IFM SRL","Comune di Catanzaro(CZ)","Regione Dipartimento 5: Attivit� Produttive","I F M ","20.000,00","20.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - DAN CABLES SPA","Comune di Settingiano(CZ)","Regione Dipartimento 5: Attivit� Produttive","MEDITERRANEA CAVI SRL","1.312.075,00","1.312.075,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - STIRPARO SRL","Comune di Settingiano(CZ)","Regione Dipartimento 5: Attivit� Produttive","STIRPARO S.R.L.","3.598.779,00","3.598.779,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - ISAL SRL","Comune di Lamezia Terme(CZ)","Regione Dipartimento 5: Attivit� Produttive","I.SA.L. SRL","1.428.798,00","1.428.798,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - SIR MECCANICA SPA","Comune di Catanzaro(CZ)","Regione Dipartimento 5: Attivit� Produttive","SIR MECCANICA SPA","4.208.420,00","4.208.420,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - IGM IND. MARMI","Comune di Davoli(CZ)","Regione Dipartimento 5: Attivit� Produttive","IGM IND. MARMI","270.000,00","270.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - RUBETTINO SRL","Comune di Soveria Mannelli(CZ)","Regione Dipartimento 5: Attivit� Produttive","RUBBETTINO S.R.L.","4.997.390,00","4.997.390,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - LAB. ODONT. MURANO","Comune di Feroleto Antico(CZ)","Regione Dipartimento 5: Attivit� Produttive","LAB. ODONT. MURANO","210.859,00","210.859,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - GABRIELE SALVATORE","Comune di Sersale(CZ)","Regione Dipartimento 5: Attivit� Produttive","GABRIELE SALVATORE","417.750,00","417.750,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"Bando prod. iniz. risparmio enERG. 2.1.2.1","Comune di Guardavalle(CZ)","COMUNE DI GUARDAVALLE","COMUNE DI GUARDAVALLE","98.065,02","83.442,42","83.442,42","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Ammodernamento illuminazione pubblica 2.1.2.1","Comune di Isca Sullo Ionio(CZ)","COMUNE DI Isca Sullo IoNIO","COMUNE DI Isca Sullo IoNIO","95.977,96","47.918,89","47.918,89","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Armonie d'Arte Festival - Comune di Borgia","Comune di Borgia(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI BORGIA","323.722,20","323.722,18","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Vis Musicae - Ass. Cult. Vis Musicae","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","ASSOCIAZIONE CULTURALE VIS MUSICAE","85.414,82","85.414,82","42.707,40","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Festival d'Autunno - Associazione Donne in Arte","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione Donne in Arte","216.158,00","216.158,00","108.079,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"PalmiDanzaEstate - A.M.A. Calabria","Comune di Lamezia Terme(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","AMA Calabria","56.139,50","56.139,50","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Festa dell'Uva Pro Loco Citt� di Catanzaro","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Pro Loco Citt� di catanzaro","13.820,68","13.820,68","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"La Notte Piccante - Comune di catanzaro","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI CATANZARO","500.000,00","500.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Dalid� tra cultura ed arte - Associazione Dalid�","Comune di Serrastretta(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione Iolanda Gigliotti in arte Dalid�","53.276,00","53.276,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Interv ott.imp.ill. pubb. 2.1.2.1","Comune di Gizzeria(CZ)","COMUNE DI GIZZERIA","COMUNE DI GIZZERIA","101.052,63","47.566,01","47.566,01","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Essere a Soveria - Comune di Soveria mannelli","Comune di Soveria Mannelli(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI SOVERIA MANNELLI","66.009,36","66.009,35","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Radici Sonore Festival - Comune di Tiriolo","Comune di Tiriolo(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI TIRIOLO","36.979,57","36.979,57","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Magna Grecia Film Festival - Ass. Cult. Magna Grecia Eventi","Comune di Montepaone(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Ass. Cult. Magna Grecia Eventi","382.279,00","382.279,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Catanzaro I luoghi ritrovati - Fondazione Politeama","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Fondazione Politeama Citt� di Catanzaro","426.800,00","426.800,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Ricrii la bella stagione - Ass. Cult. Scenari Visibili","Comune di Lamezia Terme(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Ass. Cult. Scenari Visibili","23.000,00","23.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Tarantella Power - Ass. A.R.P.A.","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","A.R.P.A.","109.108,80","109.108,80","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Contemporanea - Provincia di Catanzaro","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","AMM.NE PROVINCIALE DI CATANZARO","324.707,71","324.707,70","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Opera Festival - Centro Studi Musica Sud","Comune di Montauro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Centro Studi Musica Sud","44.532,09","44.532,09","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Bando per la produzione di iniziative nel campo del risparmi...","Comune di Gimigliano(CZ)","COMUNE DI GIMIGLIANO","COMUNE DI GIMIGLIANO","100.697,15","85.866,20","85.866,20","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Lavori di rifacimento dell'impianto di illuminazione pubblic...","Comune di Pentone(CZ)","COMUNE DI PENTONE","COMUNE DI PENTONE","86.818,86","150.230,35","85.116,21","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Adeguamento illuminotecnico impianto di pubblica illuminazione","Comune di Botricello(CZ)","COMUNE DI BOTRICELLO","COMUNE DI BOTRICELLO","72.509,37","98.362,58","49.332,58","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Lavori di rifacimento dell'impianto di pubblica illuminazion...","Comune di Fossato Serralta(CZ)","COMUNE DI FOSSATO SERRALTA","COMUNE DI FOSSATO SERRALTA","82.875,00","82.095,30","82.095,30","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Lavori di adeguamento pubblica illuminazione","Comune di Cicala(CZ)","COMUNE DI CICALA","COMUNE DI CICALA","99.937,50","192.472,84","96.236,42","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Progetto illuminotecnico sistema viario","Comune di San Vito Sullo Ionio(CZ)","istituto Comprensivo di S. Vito sullo Jonio","istituto Comprensivo di S. Vito sullo Jonio","79.141,05","147.594,46","74.827,38","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Progetto illuminotecnico sistema viario","Comune di Davoli(CZ)","COMUNE DI DAVOLI","COMUNE DI DAVOLI","126.020,00","125.310,80","125.310,80","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Lavori di manutenzione straordinaria sull'impianto di pubbli...","Comune di Soveria Simeri(CZ)","COMUNE DI SOVERIA SIMERI","COMUNE DI SOVERIA SIMERI","100.855,64","27.401,14","27.401,14","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Bando per la promozione di iniziative nel campo del risparmi...","Comune di San Sostene(CZ)","COMUNE DI SAN SOSTENE","COMUNE DI SAN SOSTENE","100.816,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Bando per la promozione di iniziative nel campo del risparmi...","Comune di Centrache(CZ)","COMUNE DI CENTRACHE","COMUNE DI CENTRACHE","81.221,05","81.221,05","81.221,04","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Bando per la promozione di iniziative nel campo del risparmi...","Comune di Palermiti(CZ)","COMUNE DI PALERMITI","COMUNE DI PALERMITI","101.052,63","99.074,15","99.074,14","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Bando per la promozione di iniziative nel campo del risparmi...","Comune di Vallefiorita(CZ)","COMUNE DI VALLEFIORITA","COMUNE DI VALLEFIORITA","87.258,82","70.937,65","70.937,65","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"RAC-AZ3-SOCIETA' AGRICOLA R&R","Comune di Lamezia Terme(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SOCIETA' AGRICOLA R&R","522.000,00","521.999,95","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-TORREVECCHIA","Comune di Lamezia Terme(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","TORREVECCHIA","300.000,00","300.000,00","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-MAIORANA","Comune di Curinga(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","MAIORANA","602.000,00","601.999,98","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-CONSORZIO AGRICOLO SCAVIGNO","Comune di Nocera Tirinese(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Consorzio agricolo scavigno","995.000,00","994.999,89","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-TEBAID","Comune di Gizzeria(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","TEBAID","377.000,00","376.999,99","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"Calabria Film Festival - Fondazione Calabria Film Commission","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Fondazione Calabria Film Commission","395.384,84","395.384,83","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"I Teatri dell'Amato - Compagnia Teatrale Miglierinese","Comune di Miglierina(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Compagnia Teatrale Miglierinese","12.000,00","12.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"AC - PIA - CRATI S.C.R.L.","Comune di Lamezia Terme(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","CRATI  S.C.R.L.","621.000,00","621.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - T.E.A. SAS DI ELENA & C.","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","T.E.A sas di Elena Console & C ","667.181,50","667.181,50","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - SIR MECCANICA SPA","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SIR MECCANICA SPA","245.800,00","245.800,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - IFM SRL","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","I F M ","506.000,00","506.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"Risplende la prosa - Compagnia Teatrale del Grillo","Comune di Soverato(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Compagnia Teatrale del Grillo","44.782,30","44.782,30","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Cortale Jazz Festival - Comune di Cortale","Comune di Cortale(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI CORTALE","19.702,97","19.702,97","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"ViviSoverato - Comune di Soverato","Comune di Soverato(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Comune di Soverato ","147.700,00","147.700,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Il Tempo delle Castagne - GAL Valle del Crocchio","Comune di Cropani(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","G.A.L. -  Valle del Crocchio","28.545,00","28.545,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Palio del Principato - Comune di Squillace","Comune di Squillace(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI SQUILLACE","26.871,36","26.871,35","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Dialettando l'Estate - Ass. Cult. Hercules","Comune di Catanzaro(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione Culturale Hercules","25.087,46","25.087,45","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Festival Artisti di Strada - Comune di Amaroni","Comune di Amaroni(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI AMARONI","18.400,00","18.400,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Raduno corale Canti Natalizi - Ass. Schola Cantorum Officium","Comune di Sant'Andrea Apostolo(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione Culturale Schola Cantorum ""Officium""","5.883,68","5.883,68","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Sistema dei Musei Diocesani della Calabria","Comune di Borgia(CZ)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Dir. Reg. per i Beni Culturali e Paesaggistici della Calabria","3.000.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la qualificazione e valorizzazione del Sistema Museale Regionale."
"EC13 - Ricostruzione e stabilizzazione del litorale in erosione ","Comune di Soverato(CZ)","COMUNE DI SOVERATO","COMUNE DI SOVERATO","674.081,90","674.081,90","324.480,00","Programma Operativo FESR  2007/2013","Azioni per la messa in sicurezza di aree a rischio di erosione costiera e per il ripascimento e la  ricostituzione delle spiagge."
"EC14 - Recupero ambientale e salvaguardia del litorale costiero ","Comune di Isca Sullo Ionio(CZ)","COMUNE DI Isca Sullo IoNIO","COMUNE DI Isca Sullo IoNIO","639.352,59","639.352,59","296.640,00","Programma Operativo FESR  2007/2013","Azioni per la messa in sicurezza di aree a rischio di erosione costiera e per il ripascimento e la  ricostituzione delle spiagge."
"SPA 3-2.1 - Regimazione del deflusso delle acque meteoriche prov","Comune di Borgia(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.133.815,64","1.133.815,64","1.119.742,46","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA 3-2.2 - Tutela, conservazione e valorizzazione e regimazione","Comune di Borgia(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.250.000,00","1.250.000,00","799.695,51","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SC22 - Interventi sul Castello vecchio (Torretta) e aree circost","Comune di Squillace(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.200.000,00","1.200.000,00","17.392,77","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA27 - Parco Archeologico di Scolacium. Completamento scavo e r","Comune di Borgia(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.800.000,00","1.800.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"05-PISO - Lavori di realizzazione nel Centro Storico di una casa","Comune di Squillace(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","862.693,46","862.693,46","733.938,39","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"06-PISO - Realizzazione di un laboratorio di restauro nel centro","Comune di Taverna(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","815.316,84","815.316,84","801.067,80","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
